system:time_start,chlor_a
"Jan 1, 2020",21.107
"Jan 8, 2020",13.982
"Jan 15, 2020",5.184
"Jan 22, 2020",17.884
"Jan 29, 2020",14.684
"Feb 5, 2020",29.8
"Feb 12, 2020",20.694
"Feb 19, 2020",15.897
"Feb 26, 2020",20.325
"Mar 4, 2020",27.518
"Mar 11, 2020",16.84
"Mar 18, 2020",20.007
"Mar 25, 2020",13.926
"Apr 1, 2020",15.798
"Apr 8, 2020",15.119
"Apr 15, 2020",19.343
"Apr 22, 2020",8.176
"Apr 29, 2020",20.569
"May 6, 2020",19.665
"May 13, 2020",16.069
"May 20, 2020",20.064
"May 27, 2020",21.541
"Jun 3, 2020",24.401
"Jun 10, 2020",25.114
"Jun 17, 2020",23.72
"Jun 24, 2020",30.412
"Jul 1, 2020",33.922
"Jul 8, 2020",17.504
"Jul 15, 2020",28.489
"Jul 22, 2020",20.322
"Jul 29, 2020",26.673
"Aug 5, 2020",35.163
"Aug 12, 2020",37.586
"Aug 19, 2020",25.425
"Aug 26, 2020",15.553
"Sep 2, 2020",15.106
"Sep 9, 2020",14.946
"Sep 16, 2020",27.499
"Sep 23, 2020",14.511
"Sep 30, 2020",33.63
"Oct 7, 2020",33.912
"Oct 14, 2020",12.513
"Oct 21, 2020",23.385
"Oct 28, 2020",13.952
"Nov 4, 2020",16.718
"Nov 11, 2020",14.699
"Nov 18, 2020",17.356
"Nov 25, 2020",13.185
"Dec 2, 2020",14.254
"Dec 9, 2020",22.595
"Dec 16, 2020",18.626
"Dec 23, 2020",23.084
"Dec 30, 2020",12.573
"Jan 6, 2021",21.522
"Jan 13, 2021",21.657
"Jan 20, 2021",28.201
"Jan 27, 2021",27.391
"Feb 3, 2021",38.951
"Feb 10, 2021",10.457
"Feb 17, 2021",
"Feb 24, 2021",19.103
"Mar 3, 2021",11.973
"Mar 10, 2021",30.746
"Mar 17, 2021",22.305
"Mar 24, 2021",20.101
"Mar 31, 2021",14.563
"Apr 7, 2021",32.611
"Apr 14, 2021",24.237
"Apr 21, 2021",19.715
"Apr 28, 2021",17.884
"May 5, 2021",7.672
"May 12, 2021",13.2
"May 19, 2021",22.141
"May 26, 2021",25.284
"Jun 2, 2021",26.817
"Jun 9, 2021",30.416
"Jun 16, 2021",37.472
"Jun 23, 2021",45.517
"Jun 30, 2021",37.727
"Aug 4, 2021",39.266
"Aug 11, 2021",27.662
"Aug 18, 2021",28.848
"Aug 25, 2021",29.245
"Sep 1, 2021",21.447
"Sep 8, 2021",5.729
"Sep 15, 2021",31.773
"Sep 22, 2021",24.959
"Sep 29, 2021",17.991
"Oct 6, 2021",21.356
"Oct 13, 2021",41.191
"Oct 20, 2021",16.347
"Oct 27, 2021",20.184
"Nov 3, 2021",30.819
"Nov 10, 2021",21.981
"Nov 17, 2021",27.364
"Nov 24, 2021",10.29
"Dec 1, 2021",21.456
"Dec 8, 2021",18.422
"Dec 15, 2021",18.493
"Dec 22, 2021",13.576
